station_id,demand_00,demand_01,demand_10,demand_11,latitude,longitude
HB101,20.0,38.0,23.0,28.0,40.73593758446329,-74.03030455112457
HB102,0.0,23.0,0.0,20.0,40.7360676564825,-74.02912706136703
HB103,9.0,11.0,12.0,16.0,40.73698221818716,-74.02778059244156
HB105,12.0,18.0,10.0,17.0,40.73736,-74.03097
HB106,40.0,30.0,24.0,17.0,40.73672227316332,-74.02900660353771
HB201,12.0,15.0,10.0,16.0,40.75060414236896,-74.02402013540268
HB202,11.0,15.0,13.0,20.0,40.75296063046496,-74.02435272932053
HB203,5.0,10.0,5.0,11.0,40.75453,-74.02658
HB301,11.0,12.0,8.0,10.0,40.7422579775645,-74.03511106967926
HB302,7.0,9.0,6.0,7.0,40.7443978330956,-74.03450086712837
HB303,11.0,15.0,9.0,12.0,40.74542,-74.03332
HB304,10.0,16.0,7.0,9.0,40.74641264837719,-74.03797701001167
HB305,10.0,15.0,8.0,11.0,40.74790720968899,-74.03841152787209
HB401,8.0,12.0,7.0,11.0,40.73755127245804,-74.04166370630264
HB402,11.0,15.0,9.0,11.0,40.73879,-74.0393
HB404,5.0,11.0,5.0,8.0,40.74313993965626,-74.04004096984863
HB407,8.0,8.0,6.0,9.0,40.73981372311843,-74.03690412640572
HB408,9.0,14.0,12.0,12.0,40.740802,-74.042521
HB409,7.0,9.0,5.0,8.0,40.73743,-74.03571
HB501,15.0,19.0,13.0,14.0,40.74816121065146,-74.0324530005455
HB502,17.0,18.0,11.0,23.0,40.74998490907138,-74.02715027332306
HB503,1.0,0.0,1.0,0.0,40.74994325412246,-74.03586477041245
HB505,9.0,12.0,10.0,12.0,40.7518674823282,-74.03037697076797
HB506,1.0,9.0,1.0,8.0,40.75409,-74.0316
HB508,6.0,10.0,5.0,6.0,40.7501091128573,-74.036636745998
HB601,9.0,12.0,11.0,14.0,40.74265933273143,-74.03223305940628
HB602,10.0,13.0,6.0,10.0,40.74313282710551,-74.02698867022991
HB603,14.0,17.0,11.0,13.0,40.74598388291562,-74.02819901704788
HB608,6.0,7.0,7.0,8.0,40.73915272763701,-74.0330819785595
HB609,14.0,16.0,14.0,13.0,40.73721535335381,-74.02886540972803
HB610,6.0,9.0,7.0,8.0,40.751889392240685,-74.03329162748534
HB611,8.0,12.0,8.0,14.0,40.7408139,-74.0274062
HB612,11.0,9.0,9.0,9.0,40.73681,-74.0309
JC002,4.0,7.0,4.0,8.0,40.7141454,-74.0335519
JC003,10.0,9.0,6.0,9.0,40.7177325,-74.043845
JC006,8.0,10.0,10.0,17.0,40.7211236,-74.03805095
JC008,7.0,11.0,9.0,22.0,40.7287448,-74.0321082
JC009,13.0,20.0,13.0,21.0,40.727595966,-74.044247311
JC013,9.0,13.0,6.0,14.0,40.71458403535893,-74.04281705617905
JC014,7.0,8.0,10.0,14.0,40.71835519823214,-74.03891444206238
JC018,3.0,5.0,3.0,4.0,40.73496102000952,-74.0595030784607
JC019,8.0,8.0,6.0,9.0,40.7311689,-74.0575736
JC020,7.0,12.0,8.0,12.0,40.7236589,-74.0641943
JC022,6.0,8.0,5.0,9.0,40.7376037,-74.0524783
JC023,9.0,11.0,6.0,10.0,40.7241765,-74.0506564
JC024,7.0,10.0,5.0,9.0,40.742677141,-74.051788633
JC027,5.0,7.0,5.0,5.0,40.72528910781132,-74.04557168483734
JC032,9.0,11.0,8.0,16.0,40.72152515,-74.046304543
JC034,7.0,10.0,6.0,8.0,40.734785818,-74.050443636
JC035,6.0,8.0,7.0,10.0,40.71848892,-74.047726625
JC038,4.0,6.0,4.0,7.0,40.7127742,-74.0364857
JC051,2.0,4.0,2.0,4.0,40.7182113,-74.0836394
JC052,8.0,14.0,6.0,18.0,40.7112423,-74.0557013
JC053,6.0,9.0,4.0,10.0,40.7246050998869,-74.07840594649315
JC055,9.0,11.0,8.0,12.0,40.7253399253558,-74.06762212514877
JC057,7.0,9.0,6.0,12.0,40.7443187,-74.0439909
JC059,4.0,6.0,4.0,6.0,40.74871594538023,-74.04044330120087
JC063,2.0,4.0,2.0,4.0,40.71113,-74.0789
JC065,4.0,6.0,3.0,5.0,40.737711,-74.066921
JC066,8.0,12.0,11.0,16.0,40.7272235,-74.0337589
JC072,5.0,8.0,5.0,12.0,40.7124188237569,-74.03852552175522
JC074,5.0,8.0,6.0,7.0,40.72333158646436,-74.04595255851744
JC075,6.0,7.0,5.0,5.0,40.72568548362901,-74.04879033565521
JC076,4.0,6.0,5.0,6.0,40.721630142638354,-74.04996782541275
JC077,5.0,7.0,3.0,4.0,40.71928220070702,-74.07126188278198
JC078,5.0,8.0,4.0,8.0,40.71346382669195,-74.06285852193832
JC080,3.0,6.0,2.0,5.0,40.74590996631558,-74.0572714805603
JC081,6.0,9.0,5.0,8.0,40.72601172964625,-74.05038893222809
JC082,8.0,9.0,8.0,12.0,40.72165072487999,-74.04288411140442
JC084,4.0,8.0,5.0,6.0,40.71435836870427,-74.06661093235016
JC093,5.0,7.0,3.0,5.0,40.72572613742557,-74.07195925712585
JC094,4.0,4.0,3.0,4.0,40.72755146730012,-74.07106071710587
JC095,6.0,9.0,4.0,6.0,40.722103786686034,-74.07145500183105
JC097,4.0,5.0,3.0,5.0,40.716615000830494,-74.0424120426178
JC098,6.0,7.0,7.0,13.0,40.7242941,-74.0354826
JC099,4.0,5.0,5.0,7.0,40.71942,-74.05099
JC102,6.0,8.0,7.0,10.0,40.71517767732029,-74.03768330812454
JC103,7.0,10.0,5.0,6.0,40.73367,-74.0625
JC104,6.0,8.0,6.0,12.0,40.7192517,-74.034234
JC105,11.0,21.0,11.0,22.0,40.73520838045357,-74.04696375131607
JC107,1.0,2.0,1.0,2.0,40.70919832245443,-74.08084273338318
JC108,2.0,3.0,2.0,4.0,40.70657545063453,-74.0867006778717
JC109,16.0,23.0,17.0,22.0,40.73100888698729,-74.06443700194359
JC110,6.0,8.0,5.0,11.0,40.71539114317,-74.04969155788422
JC115,26.0,51.0,20.0,26.0,40.71941,-74.04309
JC116,11.0,13.0,13.0,20.0,40.71636596185077,-74.034343957901
JC117,4.0,1.0,3.0,2.0,40.713203,-74.058261
JC118,7.0,2.0,6.0,2.0,40.711354,-74.062446
JC119,1.0,1.0,1.0,1.0,40.710526,-74.070112
JC120,3.0,1.0,2.0,1.0,40.713225,-74.070645
JC121,2.0,1.0,2.0,1.0,40.71647,-74.07413
JC122,2.0,1.0,2.0,1.0,40.71575,-74.07887
JC123,2.0,1.0,3.0,1.0,40.709142,-74.074553
JC124,2.0,1.0,2.0,1.0,40.714964,-74.08829
JC125,1.0,1.0,1.0,1.0,40.71188950748599,-74.08384994659119
JC127,1.0,1.0,1.0,1.0,40.704503,-74.07721
JC130,1.0,0.0,1.0,0.0,40.7073,-74.09243
JC131,2.0,1.0,1.0,1.0,40.71087,-74.09368
JC132,1.0,0.0,1.0,0.0,40.69983,-74.08416
JC133,1.0,0.0,1.0,0.0,40.6990691577764,-74.07915010654774
JC134,1.0,0.0,1.0,0.0,40.7017,-74.08952
JC135,1.0,0.0,1.0,0.0,40.70436,-74.09811
JC137,1.0,0.0,1.0,0.0,40.69877,-74.09216
JC138,1.0,0.0,1.0,0.0,40.6968,-74.08862
JC139,1.0,0.0,1.0,0.0,40.69277,-74.0878
JC140,1.0,0.0,1.0,0.0,40.69222,-74.08025
JC142,1.0,0.0,1.0,0.0,40.71005,-74.08576
JC143,1.0,0.0,1.0,0.0,40.7071,-74.08335
JC144,1.0,0.0,1.0,0.0,40.70056,-74.09474
JC145,1.0,0.0,1.0,0.0,40.72203,-74.08596
