,depot,HB101,HB102,HB103,HB105,HB106,HB201,HB202,HB203,HB301,HB302,HB303,HB304,HB305,HB401,HB402,HB404,HB407,HB408,HB409,HB501,HB502,HB503,HB505,HB506,HB508,HB601,HB602,HB603,HB608,HB609,HB610,HB611,HB612,JC002,JC003,JC006,JC008,JC009,JC013,JC014,JC018,JC019,JC020,JC022,JC023,JC024,JC027,JC032,JC034,JC035,JC038,JC051,JC052,JC053,JC055,JC057,JC059,JC063,JC065,JC066,JC072,JC074,JC075,JC076,JC077,JC078,JC080,JC081,JC082,JC084,JC093,JC094,JC095,JC097,JC098,JC099,JC102,JC103,JC104,JC105,JC107,JC108,JC109,JC110,JC115,JC116,JC117,JC118,JC119,JC120,JC121,JC122,JC123,JC124,JC125,JC127,JC130,JC131,JC132,JC133,JC134,JC135,JC137,JC138,JC139,JC140,JC142,JC143,JC144,JC145
depot,0.0,17.969,18.088,18.305,18.019,18.161,19.829,20.666,19.897,18.469,19.052,18.826,18.621,18.819,17.519,17.864,18.165,18.18,17.93,17.914,19.139,19.466,19.135,20.44,21.447,19.749,18.705,18.903,19.487,18.26,18.217,19.689,18.664,18.302,19.102,18.417,18.0,17.704,17.34,18.547,18.266,18.479,18.128,33.62,18.344,18.15,18.911,17.527,17.955,17.88,32.651,19.064,31.153,31.348,39.529,34.074,19.063,18.942,32.18,19.331,18.312,19.394,18.038,18.117,32.989,33.322,32.045,19.679,17.947,18.162,32.203,34.432,34.428,34.534,18.33,17.789,33.365,19.071,18.77,18.819,17.444,31.997,29.63,18.918,33.997,18.308,19.157,31.655,31.711,31.99,32.399,32.96,32.972,31.888,32.047,32.401,31.275,31.673,31.204,28.862,29.088,29.133,30.243,28.576,28.347,27.777,28.028,32.206,31.86,28.794,38.704
HB101,17.969,0.0,0.118,0.329,0.348,0.191,2.215,2.373,2.365,1.26,1.52,1.616,2.138,2.255,1.07,1.09,1.718,1.183,1.447,0.705,1.929,1.794,2.363,2.24,3.428,2.977,1.495,1.229,1.955,0.729,0.248,2.48,0.695,0.333,4.192,3.426,3.009,2.414,2.243,3.556,3.649,3.364,3.013,4.636,2.484,3.003,2.49,2.693,3.122,2.493,3.434,4.154,9.362,8.872,8.287,5.089,2.503,2.459,8.085,4.217,3.168,4.104,2.89,2.97,3.196,9.226,8.91,3.192,2.799,3.329,8.533,5.599,5.368,5.549,3.339,2.78,3.76,3.781,3.655,3.529,1.68,7.901,8.066,3.804,3.817,3.318,3.867,4.83,8.614,7.895,8.304,8.864,8.876,7.792,8.898,8.352,7.18,9.34,8.821,7.779,7.38,8.597,9.697,8.806,8.281,8.463,8.102,8.373,7.765,9.188,8.391
HB102,18.088,0.118,0.0,0.211,0.278,0.073,2.097,2.255,2.298,1.235,1.453,1.547,2.079,2.284,1.151,1.172,1.666,1.114,1.529,0.635,1.86,1.923,2.268,2.173,3.045,2.881,1.426,1.162,1.748,0.661,0.129,2.41,0.577,0.215,4.42,3.654,3.237,2.642,2.471,3.784,3.878,3.643,3.318,4.864,2.566,3.231,2.572,2.922,3.35,2.575,3.662,4.382,9.59,9.1,8.515,5.317,2.585,2.54,8.313,4.445,3.396,4.332,3.119,3.198,3.424,9.454,9.139,3.274,3.028,3.557,8.762,5.828,5.596,5.777,3.567,3.008,3.988,4.01,3.96,3.757,1.909,8.129,8.294,4.108,4.045,3.546,4.095,5.058,8.842,8.123,8.532,9.092,9.104,8.02,9.126,8.58,7.408,9.568,9.049,8.007,7.609,8.825,9.925,9.034,8.509,8.691,8.331,8.601,7.993,9.416,8.619
HB103,18.305,0.329,0.211,0.0,0.559,0.413,1.937,2.096,2.335,1.155,1.415,1.467,2.041,2.122,1.528,1.696,1.586,1.403,1.849,1.012,1.78,1.764,2.23,2.21,2.885,2.844,1.346,1.151,1.737,0.624,0.357,2.429,0.517,0.592,4.798,4.032,3.615,3.02,2.849,4.162,4.255,3.97,3.694,5.242,2.943,3.609,2.949,3.299,3.728,2.952,4.04,4.76,9.968,9.478,8.893,5.695,2.683,2.861,8.691,4.823,3.774,4.71,3.497,3.576,3.802,9.832,9.517,3.506,3.406,3.935,9.139,6.205,5.974,6.155,3.945,3.386,4.366,4.387,4.336,4.135,2.286,8.507,8.672,4.485,4.423,3.924,4.473,5.436,9.22,8.501,8.91,9.47,9.482,8.398,9.504,8.958,7.786,9.946,9.427,8.385,7.987,9.203,10.303,9.412,8.887,9.069,8.708,8.979,8.371,9.794,8.997
HB105,18.019,0.348,0.278,0.559,0.0,0.235,1.805,1.964,2.014,1.048,1.169,1.36,1.795,1.876,0.965,0.985,1.479,0.927,1.342,0.449,1.673,1.443,1.984,1.89,2.574,2.598,1.239,0.879,1.464,0.378,0.201,2.223,0.648,0.247,4.236,3.47,3.052,2.457,2.287,3.6,3.693,3.408,3.131,4.679,2.379,3.046,2.385,2.737,3.165,2.388,3.478,4.198,9.406,8.916,8.33,5.132,2.398,2.354,8.128,4.26,3.211,4.148,2.934,3.013,3.239,9.27,8.954,3.087,2.843,3.372,8.577,5.643,5.412,5.593,3.382,2.824,3.803,3.825,3.773,3.573,1.724,7.944,8.109,3.921,3.861,3.361,3.911,4.873,8.657,7.938,8.347,8.908,8.919,7.836,8.942,8.395,7.223,9.383,8.865,7.822,7.424,8.64,9.74,8.85,8.324,8.507,8.146,8.417,7.808,9.231,8.434
HB106,18.161,0.191,0.073,0.413,0.235,0.0,2.024,2.182,2.225,1.12,1.38,1.432,2.006,2.087,1.117,1.138,1.551,1.08,1.495,0.601,1.745,1.85,2.195,2.1,2.972,2.808,1.311,1.089,1.675,0.588,0.056,2.295,0.504,0.181,4.386,3.62,3.203,2.608,2.437,3.75,3.844,3.609,3.284,4.83,2.532,3.197,2.538,2.888,3.316,2.541,3.628,4.348,9.556,9.066,8.481,5.283,2.551,2.506,8.279,4.411,3.362,4.298,3.085,3.164,3.39,9.42,9.105,3.24,2.994,3.523,8.728,5.794,5.562,5.743,3.533,2.974,3.954,3.976,3.926,3.723,1.875,8.095,8.26,4.074,4.011,3.512,4.062,5.024,8.808,8.089,8.498,9.058,9.07,7.986,9.093,8.546,7.374,9.534,9.015,7.973,7.575,8.791,9.891,9.0,8.475,8.657,8.297,8.567,7.959,9.382,8.585
HB201,19.829,2.215,2.097,1.937,1.805,2.024,0.0,0.333,0.684,1.819,1.576,1.63,2.202,1.701,2.775,2.942,2.25,2.737,3.385,2.259,1.364,0.373,1.26,0.816,1.23,2.074,1.632,1.387,0.811,1.87,1.793,1.038,1.662,1.839,6.045,5.279,4.861,4.266,4.096,5.409,5.502,5.08,4.898,6.488,4.111,4.855,3.73,4.546,4.974,4.0,5.287,6.007,11.215,10.725,10.14,6.942,2.777,2.197,9.937,6.069,5.02,5.957,4.743,4.822,5.048,11.079,10.763,4.32,4.652,5.181,10.386,7.452,7.221,7.136,5.192,4.633,5.612,5.634,5.54,5.382,3.533,9.754,9.918,5.688,5.67,5.17,5.72,6.682,10.466,9.747,10.156,10.717,10.729,9.645,10.751,10.204,9.032,11.192,10.674,9.631,9.233,10.449,11.549,10.659,10.133,10.316,9.955,10.226,9.617,11.04,10.243
HB202,20.666,2.373,2.255,2.096,1.964,2.182,0.333,0.0,0.351,1.978,1.734,1.788,2.361,2.119,3.22,3.099,2.667,2.894,3.052,2.416,1.519,0.532,1.417,0.69,0.902,1.745,1.795,1.545,0.97,2.027,1.951,1.195,1.821,1.997,6.202,5.925,5.018,4.423,4.383,5.566,5.659,4.746,4.564,5.997,3.778,5.087,3.397,4.833,5.262,3.667,5.574,6.164,11.502,11.012,10.427,6.234,2.443,1.863,10.225,6.357,5.177,6.113,5.03,5.11,5.335,11.366,11.05,3.987,4.939,5.469,10.673,6.363,6.132,6.803,5.348,4.79,5.844,5.791,5.207,5.539,3.82,10.041,10.205,5.355,5.957,5.327,5.877,6.854,10.754,10.035,10.443,11.004,11.016,9.932,11.038,10.492,9.319,11.479,10.961,9.919,9.52,10.736,11.837,10.946,10.421,10.603,10.242,10.513,9.904,11.328,10.531
HB203,19.897,2.365,2.298,2.335,2.014,2.225,0.684,0.351,0.0,1.891,1.648,1.702,2.272,1.772,2.958,2.868,2.32,3.041,2.967,2.332,1.434,0.586,1.769,0.605,0.555,1.399,1.709,1.788,1.213,2.11,2.195,1.116,2.064,2.24,6.118,5.84,4.935,4.34,4.298,5.482,5.575,4.661,4.479,5.912,3.693,5.002,3.312,4.748,5.177,3.582,5.489,6.08,11.417,10.927,10.342,6.149,2.358,1.778,10.14,6.272,5.094,6.03,4.945,5.025,5.25,11.281,10.965,3.902,4.854,5.383,10.588,6.278,6.047,6.718,5.265,4.706,5.759,5.707,5.121,5.455,3.735,9.956,10.12,5.27,5.872,5.243,5.793,6.769,10.669,9.95,10.358,10.919,10.931,9.847,10.953,10.407,9.234,11.394,10.876,9.834,9.435,10.651,11.752,10.861,10.336,10.518,10.157,10.428,9.819,11.243,18.694
HB301,18.469,1.26,1.235,1.155,1.048,1.12,1.819,1.978,1.891,0.0,0.711,0.761,0.883,0.964,1.008,1.028,0.427,0.826,1.272,0.671,0.942,1.637,1.072,1.466,2.137,1.686,0.64,1.205,1.658,0.691,1.107,1.492,0.976,1.153,4.289,3.523,3.106,2.511,2.276,3.653,3.746,3.5,3.174,4.668,2.423,3.036,2.429,2.726,3.155,2.432,3.467,4.251,9.395,8.905,8.32,5.122,2.106,2.284,8.118,4.25,3.265,4.201,2.923,3.003,3.229,9.259,8.943,2.929,2.832,3.362,8.566,5.632,5.401,5.582,3.436,2.877,3.793,3.878,3.816,3.626,1.713,7.934,8.099,3.965,3.85,3.414,3.964,4.863,8.647,7.928,8.337,8.897,8.909,7.825,8.931,8.385,7.213,9.372,8.854,7.812,7.413,8.63,9.73,8.839,8.314,8.496,8.135,8.406,7.797,9.221,8.424
